PowerShot Pro90 IS,5.28
Canon DIGITAL IXUS 80 IS,6.02
IXUS 80 IS,6.02
Canon PowerShot SX1 IS,5.5
PowerShot SX1 IS,5.5
Canon PowerShot S90,4.67
PowerShot S90,4.67
Canon PowerShot A650 IS,4.67712
PowerShot A650 IS,4.67712
Canon PowerShot SX150 IS,5.62
PowerShot SX150 IS,5.62
Canon PowerShot SX10 IS,5.6
PowerShot SX10 IS,5.6
Canon PowerShot SX130 IS,5.62
PowerShot SX130 IS,5.62
Canon PowerShot SX220 HS,5.6
PowerShot SX220 HS,5.6
Canon PowerShot SX230 HS,5.6
PowerShot SX230 HS,5.6
Canon PowerShot A720 IS,6.03
PowerShot A720 IS,6.03
Canon PowerShot S120,4.62
PowerShot S120,4.62
Canon PowerShot A640,4.79
PowerShot A640,4.79
Canon PowerShot SX260 HS,5.56
PowerShot SX260 HS,5.56
Canon IXUS 220 HS,5.58
IXUS 220 HS,5.58
Canon PowerShot S95,4.67
PowerShot S95,4.67
Canon PowerShot S100,4.62
PowerShot S100,4.62
Canon PowerShot A4000 IS,5.6
PowerShot A4000 IS,5.6
Canon PowerShot ELPH 110 HS,5.58
Powershot ELPH 110 HS,5.58
Canon IXUS 125 HS,5.58
IXUS 125 HS,5.58
Canon PowerShot SX510 HS,5.58
PowerShot SX510 HS,5.58
Canon PowerShot S110,4.62
PowerShot S110,4.62
Canon PowerShot SD1100 IS,6.02
PowerShot SD1100 IS,6.02
Canon PowerShot SX160 IS,5.6
PowerShot SX160 IS,5.6
Canon PowerShot A495,5.39
PowerShot A495,5.39
Canon PowerShot A490,5.39
PowerShot A490,5.39
Canon PowerShot SX30 IS,5.581
PowerShot SX30 IS,5.581
EX-Z750,4.8
EX-P700,4.65
EX-P600,4.65
EX-Z4,6.05
EX-Z3,6.05
EX-Z55,6.05
EX-Z40,6.05
EX-Z30,6.05
QV-4000,4.843
QV-3500EX,4.8
QV-3000EX,4.8
EX-FH20,5.68
FinePix F11,4.5
FinePix F10,4.5
FinePix S9000,4.48
FinePix S9500,4.48
FinePix S9600,4.48
FinePix S5500,6.491
FinePix S5100,6.491
FinePix S7000,4.487
FinePix S20Pro,4.487
FinePix S602 ZOOM,4.487
FinePix F601 ZOOM,4.487
FinePix F810,4.9
FinePix F710,4.5
FinePix E550,4.5
FinePix 3800,6.3333333
FinePix S304,6.3333333
FinePix S3000,6.3333333
FinePix2800ZOOM,6.3333333
FinePix F200EXR,4.341
FinePix X100,1.523
X100S,1.523
X100T,1.523
X10,3.93
X70,1.5375
X20,3.93
X30,3.93
FinePix HS20EXR,5.71
FinePix F770EXR,5.43
FinePix S5600,6.03
XQ1,3.91
FinePix A370,6.03
X-S1,3.93
Kodak DC120 ZOOM Digital Camera,1
Kodak DC120,1
Kodak Digital Science DC50 Zoom Camera,1
Kodak DC50,1
Kodak CX6330 Zoom Digital Camera,6.593
Kodak CX6330,6.593
DiMAGE Z6,6.05
DiMAGE Z5,6.05
DiMAGE Z3,6.05
DiMAGE Z2,6.03
DiMAGE Z1,6.545
DiMAGE Z20,6.05
DiMAGE Z10,6.05
DiMAGE A200,3.933
DiMAGE A2,3.933
DiMAGE A1,3.933
DiMAGE 7Hi,3.933
DiMAGE 7i,3.933
DiMAGE 7,3.933
DiMAGE Xt,6.5
DiMAGE Xi,6.5
DiMAGE X,6.5
DiMAGE G400,6.144
Revio KD-420Z,6.144
Digilux 2,4.45
D-LUX2,4.45
D-LUX 4,4.33
Digilux 4,4.33
D-LUX 3,4.33
Digilux 3,2
Leica Q (Typ 116),1
Coolpix P60,5.62
E8800,3.933
Coolpix 8800,3.933
E8700,3.933
Coolpix 8700,3.933
E5700,3.933
Coolpix 5700,3.933
E7900,4.86
Coolpix 7900,4.86
E7600,4.86
Coolpix 7600,4.86
E5900,4.86
Coolpix 5900,4.86
E5200,4.86
Coolpix 5200,4.86
E4200,4.86
Coolpix 4200,4.86
E5400,4.843
Coolpix 5400,4.843
E5000,3.933
Coolpix 5000,3.933
E4800,6
Coolpix 4800,6
E4500,4.843
Coolpix 4500,4.843
E995,4.843
Coolpix 995,4.843
E990,4.843
Coolpix 990,4.843
E950,5.408
Coolpix 950,5.408
Coolpix P330,4.706
Coolpix S3300,5.65
Coolpix P6000,4.6
E8400,3.933
Coolpix 8400,3.933
Coolpix P7000,4.69
Coolpix P7800,4.67
Coolpix A,1.523
C8080WZ,3.933
C-8080 Wide Zoom,3.933
"u-miniD,Stylus V",6.0
µ-mini Digital,6.0
Stylus Verve Digital,6.0
"C70Z,C7000Z",4.8
"C-70 Zoom, C-7000 Zoom",4.8
"C4100Z,C4000Z",4.92
"C-4000 Zoom, C-4100 Zoom",4.92
"X-2,C-50Z",4.9
X-2,4.9
C-50 Zoom,4.9
C750UZ,6.03
C-750 Ultra Zoom,6.03
C730UZ,6.52
C-730 Ultra Zoom,6.52
C700UZ,6.52
C-700 Ultra Zoom,6.52
C7070WZ,4.930
C-7070 Wide Zoom,4.930
C5060WZ,4.930
C-5060 Wide Zoom,4.930
C5050Z,4.930
C-5050 Zoom,4.930
C4040Z,4.930
C-4040 Zoom,4.930
C3040Z,4.930
C-3040 Zoom,4.930
C2040Z,4.930
C-2040 Zoom,4.930
"C860L,D360L",6.563
C-860L,6.563
D-360L,6.563
mju-II,1
µ-II,1
Stylus Epic,1
SP350,4.8
SP-350,4.8
SP500UZ,6.0
SP-500 Ultra Zoom,6.0
SP560UZ,5.8
SP-560 Ultra Zoom,5.8
XZ-1,4.68
XZ-2,4.68
Stylus1,4.67
Stylus 1,4.67
"Stylus1,1s",4.67
"Stylus 1, 1s",4.67
TG-1,5.56
Stylus TG-1,5.56
TG-2,5.56
Stylus TG-2,5.56
TG-3,5.56
Stylus TG-3,5.56
TG-4,5.56
